Song_Name,Song_Link,Artist_Name,Stream_Count,Release Date,Composer Nmae,Original Song Estimate
This Is How I Thank The Lord,2R2cs5oc2cWfv6GqYyu84M,Piano Praises,4793358,2023-01-20,Andres Figueroa Mariah McManus Goss Robert Aholoka,{'spotify': 'https://open.spotify.com/track/2t8f07knCNSY19avq19l1R'}
In Christ Alone - Instrumental,37onB10NfS1qQFQQmfHByw,Piano Praises,4389292,2023-03-24,Keith Getty / Stuart Townend,{'spotify': 'https://open.spotify.com/track/2hQxLiI93xdjqENJuKeXjO'}
King Of Kings,0RMVpEZra9fK1Tiudh0jUw,Piano Praises,3973897,2023-01-20,Brooke Ligertwood,{'spotify': 'https://open.spotify.com/track/1iVY4FlvxwBSBEiv34UmzW'}
How Deep The Father's Love For Us - Instrumental,39fwH6P1OtTHEVmEFnGClB,Piano Praises,3476659,2023-03-24,Stuart Townend,{'spotify': 'https://open.spotify.com/track/5yxV7E3ezJA6rF4ICYYSZV'}
Oceans (Where Feet May Fail),4eZcgN4vF7EdnuWNRxpJro,Samy Galí,5890102,2016-01-07,Joel Houston,{'spotify': 'https://open.spotify.com/track/5SDcksP8En1l6RtTY1wzHc'}
Make Room (Instrumental Piano),5B7x0zFxplJZ1WufQv63Ou,Samy Galí,3183246,2023-01-27,"Joshua Neil Farro, Rebekah Erin White, Lucas Salles Cortazio & Evelyn Braun Heideriqui",{'spotify': 'https://open.spotify.com/track/7Lon0NmVkcUHAxmiPnVwda'}
Way Maker (Solo Piano),7hE34feCsDNVGFqS2LfABa,Samy Galí,5344675,2018-08-17,Sinach Kalu,{'spotify': 'https://open.spotify.com/track/7hE34feCsDNVGFqS2LfABa'}
Rescue,10Sxel3bFOjh3YivTBEFfX,Samy Galí,2143804,2022-04-15,Lauren Daigle,{'spotify': 'https://open.spotify.com/track/7r9kOxiNDnkAg5QKqtyjVk'}
Tu Fidelidad / Yo Me Rindo a El (Medley),1ddp0XZrJFHxpMc54E2rsT,Samy Galí,3301145,2017-07-03,Miguel Cassina,{'spotify': 'https://open.spotify.com/track/1ddp0XZrJFHxpMc54E2rsT'}
"The Path of the Wind (From ""My Neighbor Totoro"") [Piano Version]",5Iapi4f7AlnY158iCOjocD,Nikolai Tal,12573438,2022-07-13,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/3iSDszQXEn5ifBnZDUJiiV'}
"Departure (From ""Kiki's Delivery Service"") - Piano Version",7s0oAkDxVknIkNy85hZdKD,Nikolai Tal,7631204,2023-03-03,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/1jqAfiohT7hDRvEnzpFC4s'}
"If I Could Be the Sea - Ending Theme Song (From ""The Ocean Waves"") - Piano Version",0kpdNOYyz14bjGe6SuoNuj,Nikolai Tal,11538669,2022-12-02,Shigeru Nagata,{'spotify': 'https://open.spotify.com/track/0kpdNOYyz14bjGe6SuoNuj'}
"One Summer Day (From ""Spirited Away"") [Piano Version]",4gdKxVBc0twj6CeXjGTqhz,Nikolai Tal,10410032,2022-07-13,Joe Hisaishi,{'spotify': 'https://open.spotify.com/track/24yI12lKyeNrN7yEAPVc8j'}
